,make,model,year,trim,mileage,price,monthly_payment,status,link
0,Dodge,Challenger,2020,R/T Scat Pack,"15,585 miles","$47,590",['$840/mo'],None,www.carvana.com/vehicle/2452678
1,Kia,Seltos,2021,S 2.0,"17,705 miles","$26,590",['$518/mo'],None,www.carvana.com/vehicle/2399189
2,Dodge,Durango,2016,Limited,"42,338 miles","$28,990",['$564/mo'],None,www.carvana.com/vehicle/2373282
3,Kia,K5,2021,EX,"23,594 miles","$31,990",['$619/mo'],None,www.carvana.com/vehicle/2399254
4,Kia,Sorento,2021,SX,"9,333 miles","$43,990",['$789/mo'],None,www.carvana.com/vehicle/2395865
5,Dodge,Charger,2020,Scat Pack,"9,864 miles","$51,990",['$904/mo'],None,www.carvana.com/vehicle/2396025
6,Kia,K5,2022,GT-Line,"4,807 miles","$34,590",['$666/mo'],None,www.carvana.com/vehicle/2402273
7,Kia,Sorento,2019,L,"36,379 miles","$26,590",['$519/mo'],None,www.carvana.com/vehicle/2471010
8,Kia,Seltos,2021,EX,"20,487 miles","$29,590",['$574/mo'],None,www.carvana.com/vehicle/2394730
9,Dodge,Challenger,2018,SXT,"13,694 miles","$28,990",['$562/mo'],None,www.carvana.com/vehicle/2394845
10,Kia,Telluride,2021,SX,"28,625 miles","$53,590",['$936/mo'],None,www.carvana.com/vehicle/2359992
11,Dodge,Charger,2018,SXT Plus,"57,869 miles","$27,590",['$539/mo'],None,www.carvana.com/vehicle/2295311
12,Dodge,Challenger,2016,392 Hemi Scat Pack Shaker,"24,468 miles","$41,590",['$746/mo'],None,www.carvana.com/vehicle/2427452
13,Dodge,Durango,2019,SXT,"13,402 miles","$34,990",['$674/mo'],None,www.carvana.com/vehicle/2408040
14,Kia,Carnival,2022,SX,"13,923 miles","$55,590",['$971/mo'],None,www.carvana.com/vehicle/2408085
15,Kia,Telluride,2022,SX,337 miles,"$60,590",['$1045/mo'],None,www.carvana.com/vehicle/2408080
16,Kia,Sportage,2019,SX Turbo,"34,199 miles","$30,990",['$601/mo'],None,www.carvana.com/vehicle/2407318
17,Kia,K5,2021,EX,"14,156 miles","$31,590",['$611/mo'],None,www.carvana.com/vehicle/2404606
18,Kia,Telluride,2022,S,"8,234 miles","$45,990",['$809/mo'],None,www.carvana.com/vehicle/2380406
19,Dodge,Charger,2020,Scat Pack,"9,019 miles","$48,990",['$865/mo'],None,www.carvana.com/vehicle/2413689
20,Kia,K5,2022,GT-Line,"10,314 miles","$36,590",['$704/mo'],None,www.carvana.com/vehicle/2413702
21,Kia,Carnival,2022,LX,"26,142 miles","$42,990",['$772/mo'],None,www.carvana.com/vehicle/2413757
22,Kia,Seltos,2021,SX,"14,802 miles","$31,590",['$611/mo'],None,www.carvana.com/vehicle/2403527
23,Kia,Sorento,2020,LX,"59,736 miles","$24,990",['$494/mo'],None,www.carvana.com/vehicle/2256097
24,Kia,Carnival,2022,LX w/Seat Pkg,"14,082 miles","$43,990",['$790/mo'],None,www.carvana.com/vehicle/2390156
25,Dodge,Durango,2018,SXT Plus,"66,689 miles","$28,590",['$559/mo'],None,www.carvana.com/vehicle/2232528
26,Dodge,Grand,2019,SXT,"59,185 miles","$25,590",['$502/mo'],None,www.carvana.com/vehicle/2408909
27,Dodge,Durango,2018,GT,"77,722 miles","$32,590",['$635/mo'],None,www.carvana.com/vehicle/2371137
28,Dodge,Charger,2016,R/T Scat Pack,"32,693 miles","$41,990",['$754/mo'],None,www.carvana.com/vehicle/2412579
29,Dodge,Challenger,2020,SXT,"21,888 miles","$32,590",['$630/mo'],None,www.carvana.com/vehicle/2451485
30,Kia,Sorento,2021,S,"10,547 miles","$39,990",['$767/mo'],None,www.carvana.com/vehicle/2418791
31,Kia,Sorento,2017,SX,"26,300 miles","$30,990",['$601/mo'],None,www.carvana.com/vehicle/2078099
32,Dodge,Challenger,2014,SRT8 Core,"7,990 miles","$36,590",['$703/mo'],None,www.carvana.com/vehicle/2411860
33,Kia,Cadenza,2017,Technology,"21,265 miles","$28,990",['$563/mo'],None,www.carvana.com/vehicle/2483607
34,Kia,Forte,2021,EX,"16,695 miles","$26,990",['$525/mo'],None,www.carvana.com/vehicle/2483623
35,Kia,Seltos,2021,S 2.0,"28,056 miles","$25,990",['$507/mo'],None,www.carvana.com/vehicle/2423960
36,Kia,Telluride,2022,LX,"7,344 miles","$44,590",['$800/mo'],None,www.carvana.com/vehicle/2394041
37,Dodge,Charger,2019,Scat Pack,"39,427 miles","$43,990",['$793/mo'],None,www.carvana.com/vehicle/2423381
38,Kia,Seltos,2022,EX,"4,235 miles","$33,990",['$655/mo'],None,www.carvana.com/vehicle/2458004
39,Kia,Seltos,2021,S 2.0,"24,837 miles","$26,590",['$518/mo'],None,www.carvana.com/vehicle/2406425
40,Kia,Carnival,2022,LX,"2,745 miles","$41,990",['$751/mo'],None,www.carvana.com/vehicle/2396177
41,Kia,Forte,2021,GT,"23,210 miles","$26,590",['$518/mo'],None,www.carvana.com/vehicle/2398692
42,Kia,Telluride,2022,SX,"5,270 miles","$60,590",['$1046/mo'],None,www.carvana.com/vehicle/2406093
43,Kia,Carnival,2022,LX w/Seat Pkg,"3,897 miles","$43,990",['$789/mo'],None,www.carvana.com/vehicle/2364012
44,Kia,K5,2021,GT-Line,"12,017 miles","$31,990",['$618/mo'],None,www.carvana.com/vehicle/2405337
45,Kia,Sedona,2020,EX,"27,319 miles","$35,990",['$694/mo'],None,www.carvana.com/vehicle/2461345
46,Kia,Telluride,2022,SX,"11,505 miles","$56,590",['$990/mo'],None,www.carvana.com/vehicle/2395359
47,Dodge,Challenger,2020,SXT,"14,727 miles","$31,590",['$611/mo'],None,www.carvana.com/vehicle/2395501
48,Dodge,Durango,2020,SXT Plus,"29,442 miles","$34,990",['$676/mo'],None,www.carvana.com/vehicle/2401174
49,Kia,Carnival,2022,SX,"5,974 miles","$55,990",['$978/mo'],None,www.carvana.com/vehicle/2401123
50,Dodge,Charger,2021,Scat Pack,"14,957 miles","$50,590",['$878/mo'],None,www.carvana.com/vehicle/2404668
51,Kia,Carnival,2022,LX w/Seat Pkg,"7,951 miles","$44,990",['$808/mo'],None,www.carvana.com/vehicle/2414332
52,Kia,Telluride,2022,EX,"10,563 miles","$52,990",['$922/mo'],None,www.carvana.com/vehicle/2413804
53,Kia,Rio,2013,LX,"82,097 miles","$12,990",['$313/mo'],None,www.carvana.com/vehicle/2416082
54,Kia,Soul,2016,base,"38,624 miles","$17,590",['$351/mo'],None,www.carvana.com/vehicle/2416084
55,Kia,Sorento,2016,LX,"76,645 miles","$19,990",['$398/mo'],None,www.carvana.com/vehicle/2390372
56,Kia,Forte,2014,EX,"33,918 miles","$18,990",['$382/mo'],None,www.carvana.com/vehicle/2416326
57,Dodge,Charger,2015,SXT,"52,536 miles","$23,990",['$471/mo'],None,www.carvana.com/vehicle/2412442
58,Kia,Soul,2011,!,"81,832 miles","$13,990",['$302/mo'],None,www.carvana.com/vehicle/2389102
59,Kia,Sorento,2012,LX,"94,852 miles","$15,990",['$343/mo'],None,www.carvana.com/vehicle/2275853
60,Dodge,Grand,2017,SXT,"91,844 miles","$18,590",['$385/mo'],None,www.carvana.com/vehicle/2351484
61,Kia,Soul,2016,base,"59,457 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2481510
62,Kia,Forte,2019,S,"52,657 miles","$20,990",['$415/mo'],None,www.carvana.com/vehicle/2237798
63,Kia,Soul,2015,base,"49,818 miles","$16,590",['$332/mo'],None,www.carvana.com/vehicle/2391553
64,Dodge,Challenger,2014,SXT,"45,784 miles","$23,990",['$471/mo'],None,www.carvana.com/vehicle/2391414
65,Dodge,Grand,2018,SXT,"106,123 miles","$18,590",['$391/mo'],None,www.carvana.com/vehicle/2419833
66,Kia,Soul,2014,base,"72,992 miles","$14,990",['$308/mo'],None,www.carvana.com/vehicle/2395886
67,Dodge,Charger,2014,SE,"88,823 miles","$16,990",['$363/mo'],None,www.carvana.com/vehicle/2432019
68,Dodge,Grand,2014,AVP,"44,037 miles","$18,990",['$377/mo'],None,www.carvana.com/vehicle/2429197
69,Kia,Soul,2012,+,"81,826 miles","$14,990",['$331/mo'],None,www.carvana.com/vehicle/2427527
70,Kia,Optima,2017,LX,"69,200 miles","$17,990",['$360/mo'],None,www.carvana.com/vehicle/2474077
71,Kia,Forte5,2016,LX,"76,957 miles","$16,590",['$343/mo'],None,www.carvana.com/vehicle/2433997
72,Kia,Sorento,2014,LX,"47,034 miles","$19,590",['$394/mo'],None,www.carvana.com/vehicle/2479229
73,Kia,Forte,2015,LX,"71,383 miles","$14,990",['$308/mo'],None,www.carvana.com/vehicle/2436074
74,Dodge,Challenger,2016,SXT,"95,915 miles","$22,590",['$469/mo'],None,www.carvana.com/vehicle/2416551
75,Kia,Optima,2015,LX,"64,499 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2409580
76,Dodge,Journey,2015,R/T,"30,113 miles","$21,590",['$425/mo'],None,www.carvana.com/vehicle/2412184
77,Dodge,Grand,2018,GT,"89,817 miles","$20,990",['$437/mo'],None,www.carvana.com/vehicle/2393119
78,Kia,Sorento,2017,LX,"55,465 miles","$21,990",['$434/mo'],None,www.carvana.com/vehicle/2465280
79,Kia,Forte,2015,LX,"77,020 miles","$14,990",['$312/mo'],None,www.carvana.com/vehicle/2458217
80,Kia,Forte,2019,LXS,"25,853 miles","$21,990",['$432/mo'],None,www.carvana.com/vehicle/2461313
81,Kia,Optima,2011,EX,"62,248 miles","$15,590",['$323/mo'],None,www.carvana.com/vehicle/2395289
82,Dodge,Grand,2017,SXT,"61,978 miles","$20,590",['$408/mo'],None,www.carvana.com/vehicle/2408419
83,Dodge,Journey,2018,SE,"64,432 miles","$19,590",['$389/mo'],None,www.carvana.com/vehicle/2161485
84,Dodge,Avenger,2014,SE,"100,986 miles","$13,590",['$303/mo'],None,www.carvana.com/vehicle/2402728
85,Kia,Forte,2017,LX,"26,602 miles","$17,990",['$343/mo'],None,www.carvana.com/vehicle/2411125
86,Dodge,Journey,2017,SE,"64,564 miles","$18,590",['$381/mo'],None,www.carvana.com/vehicle/2391307
87,Dodge,Charger,2016,SXT,"37,059 miles","$27,990",['$527/mo'],['Free Shipping'],www.carvana.com/vehicle/2397298
88,Dodge,Challenger,2018,R/T,"44,761 miles","$32,590",['$614/mo'],['Free Shipping'],www.carvana.com/vehicle/2399280
89,Kia,Forte,2021,LXS,"14,257 miles","$23,990",['$469/mo'],None,www.carvana.com/vehicle/2464412
90,Dodge,Grand,2018,SXT,"105,355 miles","$18,990",['$398/mo'],None,www.carvana.com/vehicle/2442935
91,Kia,Carnival,2022,SX Prestige,"6,063 miles","$60,590",['$1028/mo'],None,www.carvana.com/vehicle/2341497
92,Dodge,Charger,2021,Scat Pack,"9,078 miles","$52,590",['$919/mo'],None,www.carvana.com/vehicle/2409192
93,Dodge,Challenger,2021,GT,"8,747 miles","$35,590",['$689/mo'],None,www.carvana.com/vehicle/2411395
94,Dodge,Charger,2018,GT,"63,291 miles","$28,590",['$562/mo'],None,www.carvana.com/vehicle/2396395
95,Dodge,Challenger,2017,R/T Scat Pack,"19,522 miles","$40,590",['$731/mo'],None,www.carvana.com/vehicle/2402347
96,Dodge,Challenger,2018,GT,"20,615 miles","$32,590",['$634/mo'],None,www.carvana.com/vehicle/2410340
97,Kia,Forte,2020,LXS,"42,894 miles","$21,990",['$430/mo'],None,www.carvana.com/vehicle/2411031
98,Kia,Optima,2018,S,"43,044 miles","$21,990",['$443/mo'],None,www.carvana.com/vehicle/2213786
99,Kia,Forte,2017,LX,"86,624 miles","$14,990",['$324/mo'],None,www.carvana.com/vehicle/2414156
100,Kia,Stinger,2022,GT-Line,"4,624 miles","$45,990",['$812/mo'],None,www.carvana.com/vehicle/2451484
101,Kia,Telluride,2022,EX,"10,204 miles","$52,990",['$926/mo'],None,www.carvana.com/vehicle/2484383
102,Kia,Telluride,2020,EX,"33,407 miles","$41,590",['$751/mo'],None,www.carvana.com/vehicle/2348727
