,id,make,model,year,trim,mileage,price,monthly_payment,status,link
0,2515121,Saab,9-3,2011,Turbo4 XWD Sport,"96,964 miles","$13,990",$296/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2515121
1,2564599,Alfa,Romeo,2017,base,"52,817 miles","$23,990",$450/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2564599
2,2448537,Alfa,Romeo,2017,Ti,"41,128 miles","$27,590",$530/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2448537
3,2546367,Alfa,Romeo,2016,base,"7,924 miles","$56,990",$971/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2546367
4,2425704,Alfa,Romeo,2017,base,"49,817 miles","$26,990",$505/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2425704
5,2572165,Alfa,Romeo,2020,base,"28,804 miles","$29,590",$552/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2572165
6,2595485,Alfa,Romeo,2018,Sport,"55,375 miles","$26,990",$506/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2595485
7,2534206,Alfa,Romeo,2019,Ti,"20,095 miles","$30,590",$570/mo,None,www.carvana.com/vehicle/2534206
8,2488615,Alfa,Romeo,2019,base,"26,563 miles","$28,590",$533/mo,None,www.carvana.com/vehicle/2488615
9,2576805,Alfa,Romeo,2017,base,"36,755 miles","$25,590",$478/mo,['Get it by Wednesday'],www.carvana.com/vehicle/2576805
10,2514481,Alfa,Romeo,2017,base,"38,755 miles","$24,990",$482/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2514481
11,2550944,Alfa,Romeo,2017,base,"67,776 miles","$23,590",$471/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2550944
12,2497186,Alfa,Romeo,2019,Sport,"42,878 miles","$28,590",$538/mo,['Get it by Thursday'],www.carvana.com/vehicle/2497186
13,2590711,Alfa,Romeo,2018,base,"42,452 miles","$27,990",$527/mo,['Get it by Thursday'],www.carvana.com/vehicle/2590711
14,2587993,Alfa,Romeo,2019,Ti,"33,530 miles","$31,990",$601/mo,['Get it by Thursday'],www.carvana.com/vehicle/2587993
15,2601243,Alfa,Romeo,2018,Ti,"42,822 miles","$27,590",$520/mo,['Get it by Thursday'],www.carvana.com/vehicle/2601243
16,2192691,Alfa,Romeo,2017,Ti,"39,975 miles","$27,590",$534/mo,['Get it by Thursday'],www.carvana.com/vehicle/2192691
17,2548718,Alfa,Romeo,2018,base,"35,393 miles","$26,990",$528/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2548718
18,2399587,Alfa,Romeo,2018,Ti Sport,"66,690 miles","$29,990",$572/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2399587
19,2570461,Alfa,Romeo,2018,Ti Sport,"20,748 miles","$31,990",$605/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2570461
20,2547412,Alfa,Romeo,2018,base,"50,581 miles","$25,590",$502/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2547412
21,2611436,Alfa,Romeo,2019,base,"26,747 miles","$29,990",$568/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2611436
22,2240118,Alfa,Romeo,2017,base,"26,675 miles","$28,990",$565/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2240118
23,2598546,Alfa,Romeo,2018,Ti Lusso,"22,441 miles","$29,990",$568/mo,None,www.carvana.com/vehicle/2598546
24,2608519,Alfa,Romeo,2019,base,"36,257 miles","$26,990",$513/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2608519
25,2568640,Alfa,Romeo,2017,Quadrifoglio,"21,679 miles","$49,990",$870/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2568640
26,2515975,Alfa,Romeo,2017,base,"45,539 miles","$25,590",$488/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2515975
27,2018679,Alfa,Romeo,2018,Ti Sport,"36,051 miles","$29,990",$569/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2018679
28,2434582,Alfa,Romeo,2018,Ti Sport,"36,947 miles","$32,590",$618/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2434582
29,2610130,Alfa,Romeo,2018,Sport,"45,290 miles","$27,990",$533/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2610130
30,2607015,Alfa,Romeo,2017,base,"26,648 miles","$26,590",$505/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2607015
31,2493068,Alfa,Romeo,2017,base,"55,086 miles","$24,990",$487/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2493068
32,2445412,Alfa,Romeo,2018,base,"48,377 miles","$25,990",$501/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2445412
33,2556389,Alfa,Romeo,2018,base,"31,371 miles","$26,590",$511/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2556389
34,2458597,Alfa,Romeo,2017,base,"7,845 miles","$61,990",$1061/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2458597
35,2105410,Alfa,Romeo,2017,Quadrifoglio,"31,750 miles","$46,990",$821/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2105410
36,2369106,Alfa,Romeo,2020,base,"14,584 miles","$33,990",$647/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2369106
37,2562516,Alfa,Romeo,2017,base,"34,892 miles","$26,990",$519/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2562516
38,2464208,Alfa,Romeo,2018,Ti Sport,"29,317 miles","$29,590",$567/mo,None,www.carvana.com/vehicle/2464208
39,2497840,Alfa,Romeo,2017,base,"29,205 miles","$26,590",$511/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2497840
40,2581785,Alfa,Romeo,2017,base,"46,304 miles","$24,590",$479/mo,['Get it by Jan 9th'],www.carvana.com/vehicle/2581785
41,2591669,Alfa,Romeo,2018,Ti,"25,063 miles","$32,590",$622/mo,['Get it by Jan 6th'],www.carvana.com/vehicle/2591669
42,2137630,Alfa,Romeo,2019,Sport,"17,735 miles","$29,590",$566/mo,None,www.carvana.com/vehicle/2137630
43,2534751,Alfa,Romeo,2018,Sport,"39,908 miles","$27,990",$538/mo,None,www.carvana.com/vehicle/2534751
